 
List of nellore Locations Pin Code
Location	Pincode	State	District
Pulicotnagar	524121	Andhra Pradesh	Nellore
Pullayapalli	524226	Andhra Pradesh	Nellore
Punabaka	524129	Andhra Pradesh	Nellore
Punnepalli	524421	Andhra Pradesh	Nellore
Punnur	524314	Andhra Pradesh	Nellore
Purini	524315	Andhra Pradesh	Nellore
Pynapuram	524346	Andhra Pradesh	Nellore
Rachavaripalli	524222	Andhra Pradesh	Nellore
Racherlapadu	524316	Andhra Pradesh	Nellore
Rajavolu	524001	Andhra Pradesh	Nellore
Rajupalem	524126	Andhra Pradesh	Nellore
Rajuvari Chintalapalem	524201	Andhra Pradesh	Nellore
Ramakur	524414	Andhra Pradesh	Nellore
Ramalingapuram	524003	Andhra Pradesh	Nellore
Ramanaidupalli	524307	Andhra Pradesh	Nellore
Ramannapalem	524366	Andhra Pradesh	Nellore
Ramapuram	524401	Andhra Pradesh	Nellore
Ramaswamypalli	524307	Andhra Pradesh	Nellore
Ramatheertham	524218	Andhra Pradesh	Nellore
Ramavarappadu	524201	Andhra Pradesh	Nellore
Ramudupalem	524313	Andhra Pradesh	Nellore
Ranganayakulapeta	524001	Andhra Pradesh	Nellore
Rangasamudram	524240	Andhra Pradesh	Nellore
Rapur	524408	Andhra Pradesh	Nellore
Raviguntapalem	524403	Andhra Pradesh	Nellore
Rebala	524305	Andhra Pradesh	Nellore
Reddypalem	524305	Andhra Pradesh	Nellore
Revur	524303	Andhra Pradesh	Nellore
Rudrakota	524203	Andhra Pradesh	Nellore
Sagutur	524402	Andhra Pradesh	Nellore
Saipeta	524201	Andhra Pradesh	Nellore
Sanayapalem	524408	Andhra Pradesh	Nellore
Sangam	524308	Andhra Pradesh	Nellore
Seetaramapuram	524310	Andhra Pradesh	Nellore
Siddanakonduru	524225	Andhra Pradesh	Nellore
Siddavaram	524408	Andhra Pradesh	Nellore
Siddipuram	524306	Andhra Pradesh	Nellore
Singapeta	524315	Andhra Pradesh	Nellore
Singareddipalli	524310	Andhra Pradesh	Nellore
Sirasanambedu	524129	Andhra Pradesh	Nellore
Siripuram	524201	Andhra Pradesh	Nellore
Somalaregada	524222	Andhra Pradesh	Nellore
Somarajupalli	524313	Andhra Pradesh	Nellore
Somasila	524301	Andhra Pradesh	Nellore
Somasila Project	524301	Andhra Pradesh	Nellore
Somavarappadu	524223	Andhra Pradesh	Nellore
South Amaluru	524002	Andhra Pradesh	Nellore
South Mopur	524004	Andhra Pradesh	Nellore
Sreedhanamalli	524123	Andhra Pradesh	Nellore
Sriharikota Range	524124	Andhra Pradesh	Nellore
Srikolanu	524308	Andhra Pradesh	Nellore
Stonehousepet	524002	Andhra Pradesh	Nellore
Sullurpeta	524121	Andhra Pradesh	Nellore
Surayapalem	524309	Andhra Pradesh	Nellore
Survepalli	524321	Andhra Pradesh	Nellore
Sydadupalli	524414	Andhra Pradesh	Nellore
Sydapuram	524407	Andhra Pradesh	Nellore
Tada	524401	Andhra Pradesh	Nellore
Tadakalur	524240	Andhra Pradesh	Nellore
Talamanchi	524315	Andhra Pradesh	Nellore
Tallapalem	524201	Andhra Pradesh	Nellore
Talluru	524142	Andhra Pradesh	Nellore
Talupur	524409	Andhra Pradesh	Nellore
Talvaipadu	524126	Andhra Pradesh	Nellore
Tamminapatnam	524412	Andhra Pradesh	Nellore
Tanamcherla	524408	Andhra Pradesh	Nellore
Tarunavoya	524308	Andhra Pradesh	Nellore
Tatakaladinne	524366	Andhra Pradesh	Nellore
Taticherlapalem	524315	Andhra Pradesh	Nellore
Tatiparthi	524309	Andhra Pradesh	Nellore
Tatipartipalem	524323	Andhra Pradesh	Nellore
Tegacherla	524414	Andhra Pradesh	Nellore
Tellapadu	524228	Andhra Pradesh	Nellore
Telugugangaproject	524132	Andhra Pradesh	Nellore
Telugurayapuram	524343	Andhra Pradesh	Nellore
Thimmajikandriga	524421	Andhra Pradesh	Nellore
Thimmareddypalli	524227	Andhra Pradesh	Nellore
Thimmasamudram	524223	Andhra Pradesh	Nellore
Thippavarappadu	524406	Andhra Pradesh	Nellore
Thirumur	524403	Andhra Pradesh	Nellore
Thoorpupalem	524201	Andhra Pradesh	Nellore
Thoorpupundla	524407	Andhra Pradesh	Nellore
Thotapalli	524311	Andhra Pradesh	Nellore
Thotapalliguduru	524311	Andhra Pradesh	Nellore
Thotlacheruvupalli	524236	Andhra Pradesh	Nellore
Thumaya	524414	Andhra Pradesh	Nellore
Thummagunta	524218	Andhra Pradesh	Nellore
Thummur	524126	Andhra Pradesh	Nellore
Thurpu Kambampadu	524341	Andhra Pradesh	Nellore
Thurupu Yerraballi	524239	Andhra Pradesh	Nellore
Thurupuchennampalli	524227	Andhra Pradesh	Nellore
Thurupurompi Dodla	524221	Andhra Pradesh	Nellore
Tikkavaram	524312	Andhra Pradesh	Nellore
Tikkavarapadu	524320	Andhra Pradesh	Nellore
Timmanaidupeta	524230	Andhra Pradesh	Nellore
Timmayapalem	524230	Andhra Pradesh	Nellore
Tinnelapudi	524413	Andhra Pradesh	Nellore
Tippaguntapalem	524412	Andhra Pradesh	Nellore
Tirumalammapalem	524323	Andhra Pradesh	Nellore
Tirumalapadu	524343	Andhra Pradesh	Nellore
Toderu	524345	Andhra Pradesh	Nellore
Togaramudi	524123	Andhra Pradesh	Nellore
Topugunta	524343	Andhra Pradesh	Nellore
Trunk Road	524001	Andhra Pradesh	Nellore
Tsoudepalli	524236	Andhra Pradesh	Nellore
Tummalagunta Pg centre	524201	Andhra Pradesh	Nellore
Turimerla	524409	Andhra Pradesh	Nellore
Turupur	524225	Andhra Pradesh	Nellore
Uchur	524121	Andhra Pradesh	Nellore
Udathavaripalem	524412	Andhra Pradesh	Nellore
Udayagiri	524226	Andhra Pradesh	Nellore
Uggumudi	524121	Andhra Pradesh	Nellore
Ulavapalle	524152	Andhra Pradesh	Nellore
Ulavapalli	524341	Andhra Pradesh	Nellore
Uppalamarthy	524127	Andhra Pradesh	Nellore
Uppalapadu	524317	Andhra Pradesh	Nellore
Upplapadu	524301	Andhra Pradesh	Nellore
Utukur	524228	Andhra Pradesh	Nellore
Vadlapudi	524405	Andhra Pradesh	Nellore
Vajjavaripalem	524131	Andhra Pradesh	Nellore
Vakadu	524415	Andhra Pradesh	Nellore
Valamedu	524415	Andhra Pradesh	Nellore
Vallamedu	524403	Andhra Pradesh	Nellore
Vallipedu	524413	Andhra Pradesh	Nellore
Vallivedu	524132	Andhra Pradesh	Nellore
Vallur	524344	Andhra Pradesh	Nellore
Vangallu	524306	Andhra Pradesh	Nellore
Varagali	524412	Andhra Pradesh	Nellore
Varakavipadu	524311	Andhra Pradesh	Nellore
Varigonda	524311	Andhra Pradesh	Nellore
Varikuntapadu	524227	Andhra Pradesh	Nellore
Varini	524218	Andhra Pradesh	Nellore
Vasili	524308	Andhra Pradesh	Nellore
Vatambedu	524121	Andhra Pradesh	Nellore
Vavileru	524341	Andhra Pradesh	Nellore
Vavilla	524218	Andhra Pradesh	Nellore
Vavintaparthi	524345	Andhra Pradesh	Nellore
Vavveru	524305	Andhra Pradesh	Nellore
Vedayapalem	524004	Andhra Pradesh	Nellore
Vedicherla	524101	Andhra Pradesh	Nellore
Veerampalli	524405	Andhra Pradesh	Nellore
Veerannakollu	524224	Andhra Pradesh	Nellore
Vegur	524137	Andhra Pradesh	Nellore
Velagalaponnur	524121	Andhra Pradesh	Nellore
Velampalli	524134	Andhra Pradesh	Nellore
Velicherla	524315	Andhra Pradesh	Nellore
Veligandla	524239	Andhra Pradesh	Nellore
Velikallu	524134	Andhra Pradesh	Nellore
Vellanti	524309	Andhra Pradesh	Nellore
Vellupodu	524240	Andhra Pradesh	Nellore
Velpulagunta	524234	Andhra Pradesh	Nellore
Vembuluru	524134	Andhra Pradesh	Nellore
Vempadu	524227	Andhra Pradesh	Nellore
Vemulachedu	524407	Andhra Pradesh	Nellore
Venadu	524124	Andhra Pradesh	Nellore
Vendodu	524131	Andhra Pradesh	Nellore
Vengalarao Nagar	524004	Andhra Pradesh	Nellore
Vengannapalem	524221	Andhra Pradesh	Nellore
Venkanapuram	524316	Andhra Pradesh	Nellore
Venkannapalem	524002	Andhra Pradesh	Nellore
Venkatachalasatram	524320	Andhra Pradesh	Nellore
Venkatagiri Bazar	524132	Andhra Pradesh	Nellore
Venkatagiri Town	524132	Andhra Pradesh	Nellore
Venkatampeta	524230	Andhra Pradesh	Nellore
Venkatapuram	524345	Andhra Pradesh	Nellore
Venkataraopalli	524001	Andhra Pradesh	Nellore
Venkatesupalem	524152	Andhra Pradesh	Nellore
Vennavada	524307	Andhra Pradesh	Nellore
Venugampalli	524303	Andhra Pradesh	Nellore
Venumbaka	524123	Andhra Pradesh	Nellore
Vepanapi	524224	Andhra Pradesh	Nellore
Vepinapi	524408	Andhra Pradesh	Nellore
Vidavalur	524218	Andhra Pradesh	Nellore
Vidyanagar	524413	Andhra Pradesh	Nellore
Vindur	524101	Andhra Pradesh	Nellore
Vinjamur	524228	Andhra Pradesh	Nellore
Vinnamala	524126	Andhra Pradesh	Nellore
Virubhotlapalli	524343	Andhra Pradesh	Nellore
Virur	524309	Andhra Pradesh	Nellore
Vodur	524410	Andhra Pradesh	Nellore
Vojili	524402	Andhra Pradesh	Nellore
Vojilirajupalem	524402	Andhra Pradesh	Nellore
Vunuguntapalem	524413	Andhra Pradesh	Nellore
Vutukur	524218	Andhra Pradesh	Nellore
Yachavaram	524404	Andhra Pradesh	Nellore
Yakasiri	524126	Andhra Pradesh	Nellore
Yathalur	524132	Andhra Pradesh	Nellore
Yellapalem	524366	Andhra Pradesh	Nellore
Yellasiri	524127	Andhra Pradesh	Nellore
Yellore	524403	Andhra Pradesh	Nellore
Yepilagunta	524230	Andhra Pradesh	Nellore
Yepur	524414	Andhra Pradesh	Nellore
Yerikollu	524228	Andhra Pradesh	Nellore
Yerur	524412	Andhra Pradesh	Nellore
Yetur	524345	Andhra Pradesh	Nellore
Zakkepalligudur	524142	Andhra Pradesh	Nellore
Zammavaram	524234	Andhra Pradesh	Nellore
Zangalapalli	524404	Andhra Pradesh	Nellore
Zarugumalli	524411	Andhra Pradesh	Nellore
Zuvvaladinne	524152	Andhra Pradesh	Nellore
